year,state,total_pledges
2016,Johor,4397
2016,Kedah,1473
2016,Kelantan,739
2016,Kuala Lumpur,4369
2016,Labuan,248
2016,Melaka,1241
2016,Negeri Sembilan,1506
2016,Pahang,1021
2016,Perak,2676
2016,Perlis,102
2016,Pulau Pinang,1893
2016,Putrajaya,279
2016,Sabah,2940
2016,Sarawak,1800
2016,Selangor,7999
2016,Terengganu,1985
2017,Johor,4269
2017,Kedah,1063
2017,Kelantan,1454
2017,Kuala Lumpur,3813
2017,Labuan,201
2017,Melaka,839
2017,Negeri Sembilan,1950
2017,Pahang,1527
2017,Perak,3195
2017,Perlis,106
2017,Pulau Pinang,1831
2017,Putrajaya,206
2017,Sabah,2072
2017,Sarawak,975
2017,Selangor,6573
2017,Terengganu,535
2018,Johor,3074
2018,Kedah,1252
2018,Kelantan,223
2018,Kuala Lumpur,2963
2018,Labuan,54
2018,Melaka,339
2018,Negeri Sembilan,858
2018,Pahang,1020
2018,Perak,1182
2018,Perlis,167
2018,Pulau Pinang,1113
2018,Putrajaya,126
2018,Sabah,2308
2018,Sarawak,461
2018,Selangor,4896
2018,Terengganu,239
2019,Johor,3037
2019,Kedah,759
2019,Kelantan,296
2019,Kuala Lumpur,2084
2019,Labuan,13
2019,Melaka,311
2019,Negeri Sembilan,335
2019,Pahang,489
2019,Perak,697
2019,Perlis,326
2019,Pulau Pinang,1398
2019,Putrajaya,64
2019,Sabah,168
2019,Sarawak,875
2019,Selangor,3625
2019,Terengganu,795
2020,Johor,1048
2020,Kedah,207
2020,Kelantan,39
2020,Kuala Lumpur,440
2020,Labuan,6
2020,Melaka,66
2020,Negeri Sembilan,166
2020,Pahang,103
2020,Perak,124
2020,Perlis,17
2020,Pulau Pinang,249
2020,Putrajaya,13
2020,Sabah,155
2020,Sarawak,79
2020,Selangor,739
2020,Terengganu,31
2021,Johor,1076
2021,Kedah,306
2021,Kelantan,133
2021,Kuala Lumpur,1147
2021,Labuan,10
2021,Melaka,258
2021,Negeri Sembilan,293
2021,Pahang,252
2021,Perak,422
2021,Perlis,55
2021,Pulau Pinang,474
2021,Putrajaya,35
2021,Sabah,268
2021,Sarawak,269
2021,Selangor,1928
2021,Terengganu,131
2022,Johor,6382
2022,Kedah,2536
2022,Kelantan,969
2022,Kuala Lumpur,6687
2022,Labuan,103
2022,Melaka,1668
2022,Negeri Sembilan,2100
2022,Pahang,1349
2022,Perak,4571
2022,Perlis,626
2022,Pulau Pinang,3195
2022,Putrajaya,361
2022,Sabah,2240
2022,Sarawak,2052
2022,Selangor,15996
2022,Terengganu,935
